x
1;ENSRNOG00000046319
2;ENSRNOG00000047964
3;ENSRNOG00000029249
4;ENSRNOG00000050370
5;ENSRNOG00000032365
6;ENSRNOG00000040300
7;ENSRNOG00000023667
8;ENSRNOG00000040305
9;ENSRNOG00000050129
10;ENSRNOG00000040316
11;ENSRNOG00000040309
12;ENSRNOG00000023659
13;ENSRNOG00000029897
14;ENSRNOG00000023718
15;ENSRNOG00000042852
16;ENSRNOG00000023653
17;ENSRNOG00000014303
18;ENSRNOG00000014330
19;ENSRNOG00000049505
20;ENSRNOG00000014916
21;ENSRNOG00000014996
22;ENSRNOG00000015239
23;ENSRNOG00000015552
24;ENSRNOG00000016041
25;ENSRNOG00000016054
26;ENSRNOG00000016381
27;ENSRNOG00000023568
28;ENSRNOG00000013160
29;ENSRNOG00000023549
30;ENSRNOG00000040273
31;ENSRNOG00000013351
32;ENSRNOG00000042741
33;ENSRNOG00000014258
34;ENSRNOG00000014290
35;ENSRNOG00000041566
36;ENSRNOG00000014431
37;ENSRNOG00000014450
38;ENSRNOG00000014852
39;ENSRNOG00000040242
40;ENSRNOG00000026291
41;ENSRNOG00000011058
42;ENSRNOG00000014902
43;ENSRNOG00000014908
44;ENSRNOG00000014913
45;ENSRNOG00000036310
46;ENSRNOG00000025587
47;ENSRNOG00000042705
48;ENSRNOG00000043188
49;ENSRNOG00000015217
50;ENSRNOG00000015473
51;ENSRNOG00000015551
52;ENSRNOG00000015660
53;ENSRNOG00000046983
54;ENSRNOG00000010753
55;ENSRNOG00000010742
56;ENSRNOG00000011015
57;ENSRNOG00000011399
58;ENSRNOG00000011411
59;ENSRNOG00000011540
60;ENSRNOG00000012092
61;ENSRNOG00000012103
62;ENSRNOG00000047798
63;ENSRNOG00000050961
64;ENSRNOG00000047193
65;ENSRNOG00000046170
66;ENSRNOG00000047746
67;ENSRNOG00000049060
68;ENSRNOG00000048872
69;ENSRNOG00000050434
70;ENSRNOG00000011460
71;ENSRNOG00000012193
72;ENSRNOG00000048504
73;ENSRNOG00000012249
74;ENSRNOG00000031089
75;ENSRNOG00000012466
76;ENSRNOG00000040145
77;ENSRNOG00000040140
78;ENSRNOG00000012885
79;ENSRNOG00000011386
80;ENSRNOG00000011409
81;ENSRNOG00000048200
82;ENSRNOG00000025799
83;ENSRNOG00000011994
84;ENSRNOG00000049517
85;ENSRNOG00000031764
86;ENSRNOG00000049636
87;ENSRNOG00000012057
88;ENSRNOG00000049106
89;ENSRNOG00000012074
90;ENSRNOG00000012259
91;ENSRNOG00000012286
92;ENSRNOG00000046026
93;ENSRNOG00000012311
94;ENSRNOG00000012322
95;ENSRNOG00000029825
96;ENSRNOG00000031700
97;ENSRNOG00000012701
98;ENSRNOG00000013052
99;ENSRNOG00000013436
100;ENSRNOG00000014313
101;ENSRNOG00000014531
102;ENSRNOG00000014907
103;ENSRNOG00000030186
104;ENSRNOG00000023961
105;ENSRNOG00000014979
106;ENSRNOG00000047605
107;ENSRNOG00000049428
108;ENSRNOG00000049777
109;ENSRNOG00000046555
110;ENSRNOG00000013969
111;ENSRNOG00000046617
112;ENSRNOG00000015605
113;ENSRNOG00000047754
114;ENSRNOG00000029533
115;ENSRNOG00000050254
116;ENSRNOG00000028519
117;ENSRNOG00000046438
118;ENSRNOG00000011134
119;ENSRNOG00000011245
120;ENSRNOG00000030796
121;ENSRNOG00000011711
122;ENSRNOG00000011720
123;ENSRNOG00000033517
124;ENSRNOG00000039955
125;ENSRNOG00000047887
126;ENSRNOG00000050801
127;ENSRNOG00000049569
128;ENSRNOG00000011855
129;ENSRNOG00000047783
130;ENSRNOG00000026462
131;ENSRNOG00000012334
132;ENSRNOG00000047821
133;ENSRNOG00000012346
134;ENSRNOG00000013202
135;ENSRNOG00000050301
136;ENSRNOG00000013304
137;ENSRNOG00000013422
138;ENSRNOG00000013791
139;ENSRNOG00000013994
140;ENSRNOG00000015036
141;ENSRNOG00000047882
142;ENSRNOG00000015321
143;ENSRNOG00000015670
144;ENSRNOG00000026096
145;ENSRNOG00000047463
146;ENSRNOG00000048934
147;ENSRNOG00000030414
148;ENSRNOG00000039872
149;ENSRNOG00000048072
150;ENSRNOG00000048265
151;ENSRNOG00000046903
152;ENSRNOG00000045914
153;ENSRNOG00000047825
154;ENSRNOG00000046302
155;ENSRNOG00000016095
156;ENSRNOG00000016089
157;ENSRNOG00000039869
158;ENSRNOG00000029877
159;ENSRNOG00000025982
160;ENSRNOG00000025951
161;ENSRNOG00000016073
162;ENSRNOG00000016219
163;ENSRNOG00000039865
164;ENSRNOG00000016371
165;ENSRNOG00000016411
166;ENSRNOG00000016627
167;ENSRNOG00000048248
168;ENSRNOG00000016700
169;ENSRNOG00000011114
170;ENSRNOG00000011161
171;ENSRNOG00000011787
172;ENSRNOG00000011815
173;ENSRNOG00000050568
174;ENSRNOG00000048976
175;ENSRNOG00000012122
176;ENSRNOG00000029303
177;ENSRNOG00000012588
178;ENSRNOG00000012609
179;ENSRNOG00000050281
180;ENSRNOG00000045725
181;ENSRNOG00000049376
182;ENSRNOG00000048649
183;ENSRNOG00000048497
184;ENSRNOG00000029608
185;ENSRNOG00000031050
186;ENSRNOG00000013323
187;ENSRNOG00000021478
188;ENSRNOG00000021442
189;ENSRNOG00000041720
190;ENSRNOG00000029641
191;ENSRNOG00000013364
192;ENSRNOG00000014004
193;ENSRNOG00000045369
194;ENSRNOG00000014190
195;ENSRNOG00000014240
196;ENSRNOG00000014517
197;ENSRNOG00000042944
198;ENSRNOG00000050157
199;ENSRNOG00000011568
200;ENSRNOG00000011588
201;ENSRNOG00000011622
202;ENSRNOG00000042309
203;ENSRNOG00000012324
204;ENSRNOG00000023407
205;ENSRNOG00000023387
206;ENSRNOG00000012581
207;ENSRNOG00000039788
208;ENSRNOG00000039785
209;ENSRNOG00000029219
210;ENSRNOG00000039783
211;ENSRNOG00000028357
212;ENSRNOG00000012775
213;ENSRNOG00000013331
214;ENSRNOG00000014485
215;ENSRNOG00000014721
216;ENSRNOG00000039776
217;ENSRNOG00000015159
218;ENSRNOG00000015465
219;ENSRNOG00000028261
220;ENSRNOG00000039743
221;ENSRNOG00000015676
222;ENSRNOG00000015810
223;ENSRNOG00000045233
224;ENSRNOG00000016103
225;ENSRNOG00000016372
226;ENSRNOG00000026501
227;ENSRNOG00000016253
228;ENSRNOG00000025327
229;ENSRNOG00000016923
230;ENSRNOG00000017302
231;ENSRNOG00000017930
232;ENSRNOG00000025756
233;ENSRNOG00000047971
234;ENSRNOG00000049394
235;ENSRNOG00000012720
236;ENSRNOG00000012742
237;ENSRNOG00000012773
238;ENSRNOG00000033609
239;ENSRNOG00000016812
240;ENSRNOG00000047117
241;ENSRNOG00000023053
242;ENSRNOG00000047603
243;ENSRNOG00000017095
244;ENSRNOG00000017150
245;ENSRNOG00000043733
246;ENSRNOG00000034075
247;ENSRNOG00000017254
248;ENSRNOG00000017601
249;ENSRNOG00000017613
250;ENSRNOG00000017678
251;ENSRNOG00000032150
252;ENSRNOG00000047406
253;ENSRNOG00000027422
254;ENSRNOG00000017826
255;ENSRNOG00000042308
256;ENSRNOG00000017963
257;ENSRNOG00000016462
258;ENSRNOG00000049259
259;ENSRNOG00000025740
260;ENSRNOG00000049256
261;ENSRNOG00000046712
262;ENSRNOG00000049881
263;ENSRNOG00000047145
264;ENSRNOG00000046353
265;ENSRNOG00000048846
266;ENSRNOG00000023081
267;ENSRNOG00000016368
268;ENSRNOG00000016286
269;ENSRNOG00000016011
270;ENSRNOG00000021744
271;ENSRNOG00000019582
272;ENSRNOG00000030564
273;ENSRNOG00000019549
274;ENSRNOG00000019544
275;ENSRNOG00000019501
276;ENSRNOG00000019489
277;ENSRNOG00000024280
278;ENSRNOG00000019358
279;ENSRNOG00000018960
280;ENSRNOG00000046149
281;ENSRNOG00000039578
282;ENSRNOG00000018858
